14851,1101,181,165,214,0,54767,3386,91,98,110,0,14,205;;;;;;;;;;;;;;;;
51953,2729,162,104,615,166,106611,4435,79,0,704,262,32,205;;;;;;;;;;;;;;;;
14879,517,263,165,287,66,57530,1694,250,37,141,88,14,205;;;;;;;;;;;;;;;;
13842,716,293,80,395,55,52216,2887,240,22,190,60,15,206;;;;;;;;;;;;;;;;
122471,17040,0,0,0,321,180767,23811,43,16,122,472,52,206;;;;;;;;;;;;;;;;
16639,1921,251,122,604,84,51205,5821,186,5,620,145,16,206;;;;;;;;;;;;;;;;
14811,134,206,39,269,0,66409,504,103,0,0,31,13,206;;;;;;;;;;;;;;;;
23228,1939,184,53,107,205,109184,5758,73,0,0,166,14,206;;;;;;;;;;;;;;;;
14775,2296,89,165,289,220,68361,7852,0,48,84,367,12,206;;;;;;;;;;;;;;;;
555787,80415,5788,2099,15262,4203,933072,131260,5827,1963,15755,4756,55,207;;;;;;;;;;;;;;;;
45778,4047,147,254,251,470,84678,7639,79,87,178,527,36,207;;;;;;;;;;;;;;;;
617961,25571,168,271,206,1086,1065250,44135,96,237,258,764,45,207;;;;;;;;;;;;;;;;
16602,959,166,187,211,168,57906,2745,75,90,507,98,16,207;;;;;;;;;;;;;;;;
14292,943,133,216,237,217,60599,4159,9,191,78,232,13,207;;;;;;;;;;;;;;;;
391726,35453,270,143,702,121,582135,53880,134,145,420,443,56,207;;;;;;;;;;;;;;;;
18311,2525,224,198,153,214,72878,8560,204,158,0,157,14,208;;;;;;;;;;;;;;;;
18934,7946,278,139,226,30,58111,27219,210,8,166,311,17,208;;;;;;;;;;;;;;;;
12799,1876,66,178,208,172,52224,6667,0,99,179,327,14,208;;;;;;;;;;;;;;;;
197538,27504,84,443,508,367,161380,23849,62,180,474,349,82,208;;;;;;;;;;;;;;;;
38600,5945,483,63,331,0,83403,10631,318,90,572,102,33,209;;;;;;;;;;;;;;;;
13520,857,147,171,197,46,51174,4105,62,175,0,34,14,209;;;;;;;;;;;;;;;;
19737,1354,197,86,646,174,81175,5214,83,3,978,265,15,209;;;;;;;;;;;;;;;;
145440,21148,175,0,70,280,203863,29744,74,0,276,225,49,209;;;;;;;;;;;;;;;;
164711,28424,117,501,195,0,165735,31718,105,220,587,375,66,209;;;;;;;;;;;;;;;;
67337,8076,270,166,608,0,111935,12691,137,82,280,0,36,210;;;;;;;;;;;;;;;;
15065,1762,147,189,435,211,71880,6827,88,68,213,122,12,210;;;;;;;;;;;;;;;;
13710,763,95,213,369,115,54670,2521,0,121,149,64,13,210;;;;;;;;;;;;;;;;
131949,14416,406,122,413,49,230215,25573,203,107,323,107,43,210;;;;;;;;;;;;;;;;
44703,4807,403,172,0,0,67821,8611,303,84,0,249,38,210;;;;;;;;;;;;;;;;
133221,45125,172,398,322,101,246955,80471,191,301,224,151,32,210;;;;;;;;;;;;;;;;
19644,2854,180,133,574,674,63290,8244,90,38,572,1055,17,210;;;;;;;;;;;;;;;;
18471,3520,227,249,159,239,63993,9558,166,198,0,220,17,210;;;;;;;;;;;;;;;;
1052381,140709,147,404,117,754,1523814,201768,107,214,325,795,62,210;;;;;;;;;;;;;;;;
21930,3781,138,86,173,118,93368,19463,45,0,164,179,15,210;;;;;;;;;;;;;;;;
15644,1882,56,203,482,0,58945,6202,0,96,362,0,14,210;;;;;;;;;;;;;;;;
18010,1628,142,101,67,413,86543,5837,61,0,0,507,13,210;;;;;;;;;;;;;;;;
150423,58594,1209,275,929,11568,181709,70740,406,206,1014,7635,71,211;;;;;;;;;;;;;;;;
941851,217794,9452,3451,38874,8703,1523402,350002,9085,3495,39372,11138,50,211;;;;;;;;;;;;;;;;
42766,3965,72,0,472,0,76463,8974,79,0,313,184,33,212;;;;;;;;;;;;;;;;
18276,2440,127,128,422,12,65954,6907,0,3,518,66,15,212;;;;;;;;;;;;;;;;
20164,2778,172,203,651,145,66620,7271,91,143,682,68,17,212;;;;;;;;;;;;;;;;
54871,4141,403,124,97,540,136554,6691,202,52,58,427,32,212;;;;;;;;;;;;;;;;
251930,10288,96,60,0,375,264427,9695,180,213,369,575,78,212;;;;;;;;;;;;;;;;
14640,1737,147,177,541,66,57703,5270,59,67,569,436,14,213;;;;;;;;;;;;;;;;
20933,1317,206,265,478,101,64844,3394,125,171,666,200,17,213;;;;;;;;;;;;;;;;
251204,15832,200,274,541,500,520490,30454,156,267,705,522,41,213;;;;;;;;;;;;;;;;
14966,5082,52,268,325,13,65335,18064,0,262,398,199,13,214;;;;;;;;;;;;;;;;
12523,2532,126,209,178,270,58146,13618,0,106,60,308,12,214;;;;;;;;;;;;;;;;
15465,2176,138,154,333,265,55291,7423,23,79,62,218,15,214;;;;;;;;;;;;;;;;
16671,1416,191,156,358,174,66062,4120,90,66,134,322,14,214;;;;;;;;;;;;;;;;
238567,17918,568,175,1120,52,273316,16807,228,159,727,259,78,215;;;;;;;;;;;;;;;;
54805,4833,235,339,508,87,135890,8960,115,213,349,195,33,215;;;;;;;;;;;;;;;;
14390,173,139,146,266,63,76500,1748,18,14,105,0,12,215;;;;;;;;;;;;;;;;
701470,83134,69,0,441,0,1037126,122933,43,90,465,126,57,215;;;;;;;;;;;;;;;;
68842,7047,129,413,247,13,134142,13145,29,247,437,122,36,216;;;;;;;;;;;;;;;;
112969,13787,233,398,222,0,198110,18564,112,185,358,183,54,216;;;;;;;;;;;;;;;;
15072,1060,230,159,253,81,74080,4663,163,161,136,0,12,216;;;;;;;;;;;;;;;;
112865,8196,181,224,583,367,233687,16624,61,202,678,275,32,216;;;;;;;;;;;;;;;;
17928,6230,287,151,153,27,61798,22250,218,67,180,36,16,216;;;;;;;;;;;;;;;;
18713,5793,208,219,161,179,66467,21200,147,123,112,252,16,216;;;;;;;;;;;;;;;;
326334,12968,0,540,485,697,235132,7687,43,172,872,682,104,216;;;;;;;;;;;;;;;;
16037,4629,203,113,690,189,68940,14733,115,0,726,156,13,216;;;;;;;;;;;;;;;;
864287,99638,6231,2598,21734,7862,1596651,156714,6254,2434,23278,7034,62,216;;;;;;;;;;;;;;;;
37431,4113,171,98,0,324,76286,7811,159,98,0,400,20,217;;;;;;;;;;;;;;;;
1463791,217335,17680,6642,61923,23743,2225240,325500,15469,5917,57596,24144,69,217;;;;;;;;;;;;;;;;
715534,55882,544,457,90,364,1124797,85384,212,311,232,301,58,217;;;;;;;;;;;;;;;;
58105,12871,0,256,86,3,91192,19587,12,144,22,59,37,218;;;;;;;;;;;;;;;;
83706,3719,187,219,0,0,140457,6351,172,175,185,220,37,219;;;;;;;;;;;;;;;;
13824,1046,223,53,610,185,56762,3063,198,0,448,159,14,219;;;;;;;;;;;;;;;;
19747,3130,316,124,302,0,83789,9439,250,64,254,73,15,219;;;;;;;;;;;;;;;;
362128,141549,5496,2154,16457,7051,610824,227164,5068,1781,15778,7591,53,219;;;;;;;;;;;;;;;;
16910,1440,212,268,480,83,60428,4723,153,223,398,0,16,220;;;;;;;;;;;;;;;;
18375,1101,162,0,375,148,74903,3573,125,0,521,274,14,220;;;;;;;;;;;;;;;;
21663,11810,120,77,308,138,100341,39280,82,0,147,34,13,220;;;;;;;;;;;;;;;;
28011,23826,205,172,275,257,74660,53476,140,81,356,126,20,220;;;;;;;;;;;;;;;;
18269,19926,162,45,103,83,80829,57326,40,0,227,0,14,220;;;;;;;;;;;;;;;;
20283,18251,232,145,383,313,83526,48654,135,42,210,333,14,220;;;;;;;;;;;;;;;;
31830,15402,352,90,599,10,88594,39353,304,0,681,88,20,220;;;;;;;;;;;;;;;;
19773,5345,208,165,508,226,105281,20187,201,56,420,385,12,220;;;;;;;;;;;;;;;;
18012,3348,190,115,336,393,63614,11534,134,8,233,588,15,220;;;;;;;;;;;;;;;;
28081,3825,56,204,309,58,88415,10792,0,125,135,26,19,220;;;;;;;;;;;;;;;;
18254,2201,78,151,64,202,97758,9349,0,44,0,196,12,220;;;;;;;;;;;;;;;;
21464,1809,248,127,162,111,80220,4477,182,42,0,109,16,220;;;;;;;;;;;;;;;;
19191,10865,160,192,54,691,77889,29077,88,62,0,1255,16,220;;;;;;;;;;;;;;;;
16543,5786,186,112,380,245,63462,17460,75,35,156,332,15,220;;;;;;;;;;;;;;;;
73898,5260,357,109,555,0,119861,8242,181,48,330,162,41,221;;;;;;;;;;;;;;;;
801231,68587,211,436,676,20,1602127,116558,80,218,557,249,56,221;;;;;;;;;;;;;;;;
14753,3840,232,272,320,0,55143,13826,164,227,277,0,14,221;;;;;;;;;;;;;;;;
17271,6309,191,256,215,0,79481,19723,201,191,238,0,13,221;;;;;;;;;;;;;;;;
15175,2075,244,260,594,334,60211,9720,223,231,560,322,14,221;;;;;;;;;;;;;;;;
24140,2096,230,98,267,330,74446,7015,127,32,85,384,17,221;;;;;;;;;;;;;;;;
20841,8958,297,121,328,165,96304,26449,227,59,419,453,14,221;;;;;;;;;;;;;;;;
22494,4125,203,233,341,106,86563,12290,136,128,85,15,16,222;;;;;;;;;;;;;;;;
65848,4734,171,37,431,186,161227,9988,113,61,531,316,34,222;;;;;;;;;;;;;;;;
13192,1759,148,146,251,154,52961,8747,18,52,52,168,13,222;;;;;;;;;;;;;;;;
17339,5341,232,142,475,146,57048,14360,145,37,371,254,16,222;;;;;;;;;;;;;;;;
13227,2199,32,151,593,145,52938,8542,0,8,550,162,14,222;;;;;;;;;;;;;;;;
15049,4351,224,190,190,189,67884,15359,219,102,0,125,13,222;;;;;;;;;;;;;;;;
15817,2210,156,230,452,0,73097,7680,60,191,507,108,13,222;;;;;;;;;;;;;;;;
112853,7934,0,298,0,163,169536,7924,0,154,207,599,56,223;;;;;;;;;;;;;;;;
13209,1690,95,115,225,138,50779,5662,0,3,153,152,14,223;;;;;;;;;;;;;;;;
151230,8311,261,30,61,0,279698,13807,158,99,22,0,39,224;;;;;;;;;;;;;;;;
12145,1193,151,121,197,277,56408,4403,133,5,31,322,12,224;;;;;;;;;;;;;;;;
11793,470,98,112,417,299,52990,1740,0,0,492,274,13,224;;;;;;;;;;;;;;;;
1171644,440545,15666,5454,50189,20606,1565362,637589,14082,4712,48816,19581,58,224;;;;;;;;;;;;;;;;
930997,215045,10309,3972,36684,6761,1555234,347297,9933,4026,37237,7314,50,224;;;;;;;;;;;;;;;;
21922,6548,90,145,622,663,83925,38383,11,5,1466,1754,14,224;;;;;;;;;;;;;;;;
16575,7872,230,86,638,151,59986,26985,136,0,705,327,15,224;;;;;;;;;;;;;;;;
79146,6062,296,36,923,91,148078,12307,168,88,642,206,32,225;;;;;;;;;;;;;;;;
11239,663,142,137,305,257,50123,2410,78,2,33,269,12,225;;;;;;;;;;;;;;;;
12905,1049,98,118,311,294,52765,3302,0,33,152,485,13,225;;;;;;;;;;;;;;;;
19174,3118,151,199,43,81,72280,9303,72,89,100,161,15,225;;;;;;;;;;;;;;;;
606589,29515,217,68,536,0,710487,35167,145,82,444,148,70,226;;;;;;;;;;;;;;;;
12069,945,196,125,181,37,50702,3221,134,0,172,0,12,226;;;;;;;;;;;;;;;;
16533,5869,211,56,455,435,76435,19184,156,0,407,548,13,226;;;;;;;;;;;;;;;;
43647,2024,269,272,444,0,73107,4183,102,175,440,0,35,226;;;;;;;;;;;;;;;;
11250,2893,162,163,292,108,50224,10099,130,116,0,0,12,227;;;;;;;;;;;;;;;;
1066734,198420,15097,5396,47713,13386,1394449,297389,13939,4826,43596,13359,54,227;;;;;;;;;;;;;;;;
29227,6014,50,92,320,250,119835,30165,61,91,271,1917,20,227;;;;;;;;;;;;;;;;
16747,2385,221,233,184,301,51631,9329,126,115,77,422,16,227;;;;;;;;;;;;;;;;
82521,21223,379,413,167,0,100273,22011,192,179,681,144,59,227;;;;;;;;;;;;;;;;
190935,10399,249,183,613,253,253971,11651,146,82,551,439,57,227;;;;;;;;;;;;;;;;
16815,1343,145,109,0,155,58245,4110,78,12,0,110,16,227;;;;;;;;;;;;;;;;
272485,21622,0,87,0,612,459760,34628,37,72,31,493,54,227;;;;;;;;;;;;;;;;
14475,556,72,86,435,372,50183,3198,18,1,524,390,14,227;;;;;;;;;;;;;;;;
400053,15327,299,40,594,43,261831,9158,190,173,383,486,101,227;;;;;;;;;;;;;;;;
15607,2745,126,131,446,101,50856,8362,88,107,410,327,15,227;;;;;;;;;;;;;;;;
975595,408550,10972,3771,30826,8059,1622538,643861,9782,3668,30910,9346,62,228;;;;;;;;;;;;;;;;
12988,288,150,104,194,121,61188,1933,29,14,0,192,12,229;;;;;;;;;;;;;;;;
228134,13395,348,115,1051,572,161565,7272,209,159,561,599,104,229;;;;;;;;;;;;;;;;
1195161,35645,915,134,554,393,890935,23463,323,129,383,449,121,229;;;;;;;;;;;;;;;;
18460,3467,122,128,538,191,73626,11065,39,46,530,147,15,229;;;;;;;;;;;;;;;;
100035,5592,398,121,120,285,178303,8719,236,114,221,502,40,229;;;;;;;;;;;;;;;;
14034,3402,111,192,395,234,65416,12674,13,80,320,362,12,229;;;;;;;;;;;;;;;;
12119,829,44,89,225,47,52876,2886,0,13,0,0,12,229;;;;;;;;;;;;;;;;
14772,1687,75,33,145,495,72838,7249,0,0,20,670,12,229;;;;;;;;;;;;;;;;
15855,541,53,162,381,60,50962,2607,0,147,221,249,16,230;;;;;;;;;;;;;;;;
15151,2744,133,104,231,0,69505,9446,0,0,0,0,13,230;;;;;;;;;;;;;;;;
140185,62427,120,354,777,477,144651,69672,91,218,973,338,64,230;;;;;;;;;;;;;;;;
144418,9703,461,0,676,111,292437,17123,331,0,446,145,42,230;;;;;;;;;;;;;;;;
26150,1980,52,201,385,95,65622,3805,47,70,830,115,23,230;;;;;;;;;;;;;;;;
11386,805,205,121,200,231,50124,3574,157,5,0,268,12,230;;;;;;;;;;;;;;;;
13707,1366,191,42,344,58,71235,5872,90,0,568,0,12,230;;;;;;;;;;;;;;;;
18821,964,130,151,447,159,74259,3304,24,28,265,133,15,230;;;;;;;;;;;;;;;;
16178,2095,208,69,200,92,58680,6372,102,0,162,19,16,231;;;;;;;;;;;;;;;;
91609,11608986,498,0,514,67,110264,10604686,242,88,439,154,60,231;;;;;;;;;;;;;;;;
48130,3673031,147,16,734,192,96662,9923688,115,51,579,211,37,231;;;;;;;;;;;;;;;;
21613,2709,120,112,865,311,79330,6880,1,15,1107,380,17,231;;;;;;;;;;;;;;;;
20515,2562,102,83,291,35,65926,7761,33,0,53,148,17,231;;;;;;;;;;;;;;;;
19338,2647,84,43,359,80,61611,8297,10,0,133,0,17,231;;;;;;;;;;;;;;;;
43854,3582,261,71,145,52,85678,6771,185,28,403,166,39,232;;;;;;;;;;;;;;;;
12457,1460,72,154,176,626,52384,5391,0,44,83,1001,12,232;;;;;;;;;;;;;;;;
102241,16084,319,198,46,0,153287,22064,172,176,105,52,42,232;;;;;;;;;;;;;;;;
25927,2831,217,230,161,64,105483,7694,147,218,0,135,17,232;;;;;;;;;;;;;;;;
11111,2038,10,115,117,140,51818,8252,0,0,0,96,12,233;;;;;;;;;;;;;;;;
483100,33384,373,0,904,924,945646,54548,150,12,510,833,67,233;;;;;;;;;;;;;;;;
16613,3003,209,163,602,49,58385,9033,126,95,412,207,15,233;;;;;;;;;;;;;;;;
13527,780,267,175,345,169,60485,3732,222,139,243,172,13,233;;;;;;;;;;;;;;;;
16147,2038,187,221,159,159,85514,8686,109,187,0,50,12,233;;;;;;;;;;;;;;;;
58872,6773,147,28,450,492,97162,9469,39,38,542,301,35,234;;;;;;;;;;;;;;;;
14375,2742,107,134,721,0,50972,10159,0,96,831,71,14,234;;;;;;;;;;;;;;;;
66990,15757,0,87,433,27,110288,22482,0,105,354,0,36,235;;;;;;;;;;;;;;;;
13858,1616,139,269,369,114,57621,5858,55,232,338,131,13,235;;;;;;;;;;;;;;;;
136381,10332,0,280,0,426,296246,18340,0,131,402,550,34,237;;;;;;;;;;;;;;;;
117452,14894,276,6,341,0,125585,15285,152,111,324,147,63,237;;;;;;;;;;;;;;;;
18349,1019,156,95,295,0,88479,5343,48,0,283,0,13,237;;;;;;;;;;;;;;;;
16419,2974,74,149,173,40,57947,8482,0,73,320,304,16,237;;;;;;;;;;;;;;;;
740502,134073,7819,2922,24202,6759,1175985,204427,7751,2812,24706,8117,53,238;;;;;;;;;;;;;;;;
245965,17578,247,25,718,0,469425,29324,197,66,517,216,47,238;;;;;;;;;;;;;;;;
135210,13747,281,318,295,211,177984,19779,148,204,332,591,55,239;;;;;;;;;;;;;;;;
14819,750,245,204,107,146,73322,2823,202,128,0,111,12,239;;;;;;;;;;;;;;;;
14978,4416,223,209,156,415,58734,16187,124,109,51,522,14,239;;;;;;;;;;;;;;;;
71786,4049,0,115,550,0,145901,6955,0,63,623,47,46,239;;;;;;;;;;;;;;;;
66847,2645099,238,143,287,296,88808,4121546,144,108,302,359,44,239;;;;;;;;;;;;;;;;
59169,2486900,248,222,815,6,100669,4095031,141,95,560,362,38,239;;;;;;;;;;;;;;;;
28604,303546,276,296,262,376,74552,924692,240,188,346,362,21,239;;;;;;;;;;;;;;;;
69456,125328,0,348,347,365,104537,310937,28,149,448,462,43,239;;;;;;;;;;;;;;;;
15502,1582,147,171,0,196,54682,5602,122,76,0,186,15,240;;;;;;;;;;;;;;;;
35679,3972,58,24,178,20,61646,8455,36,0,29,0,23,240;;;;;;;;;;;;;;;;
126672,27787,419,581,284,0,110825,17146,155,239,467,248,83,240;;;;;;;;;;;;;;;;
29524,6951,233,221,622,172,90346,15466,156,94,506,302,19,240;;;;;;;;;;;;;;;;
20733,4320,275,268,482,7,71078,12026,179,164,453,4,17,240;;;;;;;;;;;;;;;;
62009,4782,322,354,887,480,148489,10354,221,242,691,865,31,240;;;;;;;;;;;;;;;;
13395,1898,202,184,189,169,55390,6102,261,156,59,107,13,241;;;;;;;;;;;;;;;;
513664,99100,4678,2268,66384,18299,609007,140839,3508,1760,54245,15219,61,242;;;;;;;;;;;;;;;;
21919,2052,66,104,397,55,78320,6402,57,97,272,90,17,242;;;;;;;;;;;;;;;;
26891,2569,147,84,342,341,102860,7267,46,72,247,797,18,243;;;;;;;;;;;;;;;;
61830,3945,0,128,447,265,111794,8312,0,41,495,382,33,243;;;;;;;;;;;;;;;;
59277,8964,107,53,172,134,89064,15685,21,58,123,267,35,243;;;;;;;;;;;;;;;;
347965,30607,78,0,331,123,472278,38875,79,0,298,234,57,244;;;;;;;;;;;;;;;;
52308,3743,153,245,511,253,87036,4642,121,84,226,475,42,244;;;;;;;;;;;;;;;;
60784,4188,0,107,128,128,188792,10818,0,0,334,263,22,244;;;;;;;;;;;;;;;;
12494,1129,205,190,477,27,54644,4163,192,115,359,0,13,244;;;;;;;;;;;;;;;;
132565,13587,321,174,471,69,243463,23446,179,70,317,312,39,244;;;;;;;;;;;;;;;;
13966,1564,150,81,325,225,62322,6873,44,0,166,304,12,244;;;;;;;;;;;;;;;;
12615,1587,197,169,161,205,54569,6915,168,61,0,251,12,244;;;;;;;;;;;;;;;;
30856,4343,267,0,386,199,58847,8092,168,0,307,564,32,245;;;;;;;;;;;;;;;;
10811,664,49,143,419,381,54794,2653,0,15,366,589,12,245;;;;;;;;;;;;;;;;
16606,3531,144,190,164,128,75730,12124,37,81,0,179,13,245;;;;;;;;;;;;;;;;
15653,871,117,95,242,128,58276,2701,0,0,256,27,14,245;;;;;;;;;;;;;;;;
14341,4631,98,77,330,123,51859,14781,0,13,83,60,14,245;;;;;;;;;;;;;;;;
1032039,181753,11137,4163,33047,9152,1859918,282121,10677,4141,33473,10425,63,245;;;;;;;;;;;;;;;;
144526,10771,183,145,64,324,298867,19364,111,119,279,534,41,246;;;;;;;;;;;;;;;;
319040,19606,0,286,0,0,565320,27255,43,185,210,301,56,247;;;;;;;;;;;;;;;;
1515456,261855,254,409,910,660,2234716,387908,152,189,946,645,60,247;;;;;;;;;;;;;;;;
42280,15165,153,178,533,250,144355,69220,48,134,425,303,17,247;;;;;;;;;;;;;;;;
12022,659,114,181,410,200,52200,2854,0,111,316,256,12,247;;;;;;;;;;;;;;;;
1203073,122050,10987,4542,34815,11607,2248876,191793,11939,4768,35763,14159,64,247;;;;;;;;;;;;;;;;
18341,1461,190,222,680,15,65793,4950,123,193,735,0,15,248;;;;;;;;;;;;;;;;
58146,13959,206,0,896,1685,118014,23907,96,0,596,2284,38,248;;;;;;;;;;;;;;;;
79508,12167,174,212,760,311,115163,17938,136,92,398,263,52,248;;;;;;;;;;;;;;;;
106392,11302,129,357,0,162,172730,20060,96,295,191,830,40,249;;;;;;;;;;;;;;;;
16182,2889,187,195,244,132,60690,9289,73,90,0,411,15,249;;;;;;;;;;;;;;;;
50486,3516,205,0,176,0,109509,7465,184,0,321,99,28,249;;;;;;;;;;;;;;;;
216218,44196,53,254,347,581,153683,28217,87,234,338,585,93,249;;;;;;;;;;;;;;;;
17044,1445,196,184,463,97,85849,7305,132,161,353,0,13,249;;;;;;;;;;;;;;;;
20075,4156,139,90,225,143,67301,15198,114,0,56,92,16,249;;;;;;;;;;;;;;;;
21808,4099,193,63,298,13,83370,13941,127,0,227,0,16,249;;;;;;;;;;;;;;;;
52359,2638,392,390,350,223,119051,4506,229,209,266,122,35,250;;;;;;;;;;;;;;;;
23868,5726,98,183,493,330,78776,15672,0,86,251,288,17,250;;;;;;;;;;;;;;;;
690513,82276,11736,5568,15755,126,1281965,134888,12395,5588,16647,752,47,251;;;;;;;;;;;;;;;;
74690,12553,53,49,726,91,114822,18439,12,0,584,320,40,251;;;;;;;;;;;;;;;;
50878,8119,303,206,251,470,105928,15766,249,118,349,437,30,251;;;;;;;;;;;;;;;;
33447,5234,80,95,879,0,74443,10639,25,125,639,65,31,251;;;;;;;;;;;;;;;;
20918,5458,23,89,607,12,67809,19546,0,0,503,0,17,251;;;;;;;;;;;;;;;;
23858,7180,0,225,328,268,79698,20037,0,130,213,158,18,251;;;;;;;;;;;;;;;;
16308,2059,162,209,184,126,51999,7593,52,89,0,8,16,252;;;;;;;;;;;;;;;;
11631,1333,235,231,226,0,51716,5043,161,173,303,0,12,252;;;;;;;;;;;;;;;;
30178,3893,221,257,231,225,96630,9463,181,151,171,250,20,252;;;;;;;;;;;;;;;;
21236,3329,177,216,194,33,71936,9335,112,109,184,249,18,252;;;;;;;;;;;;;;;;
22525,1833,166,189,258,58,77329,5830,79,87,30,59,16,253;;;;;;;;;;;;;;;;
18431,311,248,248,154,299,50837,1145,163,141,145,282,18,253;;;;;;;;;;;;;;;;
14553,646,272,172,300,288,67178,2081,234,71,603,342,13,253;;;;;;;;;;;;;;;;
13465,436,212,256,275,63,61769,1702,167,191,249,36,13,253;;;;;;;;;;;;;;;;
62730,4858,183,196,150,372,151572,10490,106,134,354,810,34,254;;;;;;;;;;;;;;;;
12588,1783,208,230,212,242,57185,6253,155,124,0,428,12,254;;;;;;;;;;;;;;;;
33821,2980,107,140,806,109,75765,5358,102,72,585,158,32,254;;;;;;;;;;;;;;;;
12052,2893,135,257,610,0,51273,9467,0,213,712,0,13,255;;;;;;;;;;;;;;;;
73951,6463,333,228,539,435,107338,10991,210,163,415,517,38,255;;;;;;;;;;;;;;;;
86132,4611,105,122,1128,0,223395,10071,159,122,1231,235,33,255;;;;;;;;;;;;;;;;
144112,11054,0,407,366,183,248802,19359,0,206,315,498,44,255;;;;;;;;;;;;;;;;
18025,3695,148,196,97,307,75290,10089,112,120,0,385,15,256;;;;;;;;;;;;;;;;
12121,438,300,145,486,118,51999,2207,251,61,438,3,12,256;;;;;;;;;;;;;;;;
16212,2303,206,93,225,291,64303,6595,119,8,0,394,14,256;;;;;;;;;;;;;;;;
26148,1523,87,0,375,196,101750,3801,0,0,372,156,17,256;;;;;;;;;;;;;;;;
965318,230325,12621,4760,33570,10298,1431054,345046,10941,3841,33604,9646,55,257;;;;;;;;;;;;;;;;
1328056,428135,18002,6483,57205,17449,1837397,624285,16146,6030,51313,15668,68,257;;;;;;;;;;;;;;;;
109653,9372,260,215,342,206,223800,17049,141,124,195,236,34,258;;;;;;;;;;;;;;;;
13322,2242,260,160,446,251,52667,7112,174,48,387,201,13,258;;;;;;;;;;;;;;;;
18353,1710,133,201,544,0,63019,4910,6,165,370,32,16,258;;;;;;;;;;;;;;;;
30913,8559,339,174,546,41,100772,19793,257,80,303,28,20,258;;;;;;;;;;;;;;;;
42232,4585,374,339,605,37,111495,9215,239,230,306,146,28,258;;;;;;;;;;;;;;;;
49839,5240,111,57,615,0,128734,10152,15,51,673,113,23,259;;;;;;;;;;;;;;;;
96975,20472,318,184,331,267,123382,28746,231,97,271,362,45,259;;;;;;;;;;;;;;;;
619387,75182,0,359,0,0,424399,57275,76,165,394,264,111,259;;;;;;;;;;;;;;;;
345183,83298,407,60,1120,1105,467834,111823,231,91,760,780,58,260;;;;;;;;;;;;;;;;
43055,4686,122,59,892,132,82033,8656,57,64,907,251,33,260;;;;;;;;;;;;;;;;
14091,838,110,172,352,3,64764,3981,0,110,348,0,13,260;;;;;;;;;;;;;;;;
21452,4636,279,184,439,54,73806,12592,266,79,719,175,17,260;;;;;;;;;;;;;;;;
22954,6242,169,142,306,86,83260,18149,121,102,87,114,17,260;;;;;;;;;;;;;;;;
16705,712,212,45,112,149,64614,2251,146,0,13,253,14,261;;;;;;;;;;;;;;;;
52980,5267,477,259,397,228,102621,9978,280,151,522,227,34,261;;;;;;;;;;;;;;;;
15324,1142,92,172,298,148,54422,5411,0,45,0,95,15,262;;;;;;;;;;;;;;;;
17538,2131,105,53,209,0,54253,6982,0,0,77,0,17,262;;;;;;;;;;;;;;;;
17797,2719,272,178,601,368,57979,8684,202,87,698,414,16,263;;;;;;;;;;;;;;;;
22579,6242,184,160,399,41,71435,15478,60,87,511,0,19,263;;;;;;;;;;;;;;;;
19814,3359,187,172,413,0,74099,11917,70,64,322,0,17,263;;;;;;;;;;;;;;;;
17290,2137,273,121,421,231,57325,7666,201,0,421,396,15,263;;;;;;;;;;;;;;;;
67991,12305,270,103,0,226,90487,14882,173,121,224,319,44,263;;;;;;;;;;;;;;;;
49043,9879,187,62,0,157,94294,14070,173,9,0,103,35,263;;;;;;;;;;;;;;;;
56220,16658,142,207,82,0,106670,28031,69,122,131,19,33,263;;;;;;;;;;;;;;;;
105877,31817,430,369,696,117,149981,47602,259,221,814,148,45,264;;;;;;;;;;;;;;;;
32044,1733,130,122,550,367,68794,3201,86,69,617,284,31,264;;;;;;;;;;;;;;;;
30766,3098,69,225,677,389,104031,7504,0,252,689,472,19,264;;;;;;;;;;;;;;;;
82007,21540,0,24,230,6,103712,26510,23,74,524,159,57,264;;;;;;;;;;;;;;;;
12152,2127,56,190,247,301,58520,9896,0,81,78,268,12,264;;;;;;;;;;;;;;;;
440127,183561,0,395,97,18,252664,112136,132,136,308,447,124,264;;;;;;;;;;;;;;;;
22175,3832,34,136,223,375,69173,11354,0,20,0,546,17,264;;;;;;;;;;;;;;;;
62861,3339,138,151,255,120,105237,5524,15,101,187,325,36,264;;;;;;;;;;;;;;;;
39957,2197,159,63,222,0,57541,2929,119,21,102,129,38,265;;;;;;;;;;;;;;;;
18728,3387,66,256,244,424,62117,10743,0,198,270,619,16,266;;;;;;;;;;;;;;;;
376784,18386,0,122,17,557,633327,28106,0,99,411,700,53,266;;;;;;;;;;;;;;;;
22350,3653,193,254,140,121,73033,10576,116,193,0,176,18,266;;;;;;;;;;;;;;;;
45392,10943,354,19,314,214,92021,17413,234,32,621,195,34,266;;;;;;;;;;;;;;;;
19798,5500,129,124,272,89,65386,16237,7,47,291,253,17,267;;;;;;;;;;;;;;;;
45773,4243,188,130,65,143,90625,7703,117,33,36,269,31,267;;;;;;;;;;;;;;;;
20198,4670,59,22,369,117,73396,13608,0,0,211,105,16,267;;;;;;;;;;;;;;;;
20419,2725,172,56,275,200,61503,8494,130,9,294,546,17,267;;;;;;;;;;;;;;;;
